Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
40,40,663.6,"5,653.50",Abril,2020,0,1,0,0,-,-,-,-,-,"14,374.50","2,685.50"
40,40,663.4,"4,933.50",Mayo,2020,0,1,0,0,-,-,-,-,-,"11,983.80","2,586.90"
40,40,737.2,"7,208.10",Junio,2020,0,1,0,0,-,-,-,-,-,"16,926.20","3,174.50"
40,40,730.1,"7,101.50",Julio,2020,0,1,0,0,-,-,-,-,-,"16,576.40","3,304.00"
40,40,745.7,"7,656.00",Agosto,2020,0,1,0,0,-,-,-,-,-,"18,240.30","3,253.40"
40,40,728.1,"7,874.70",Septiembre,2020,0,1,0,0,-,-,-,-,-,"18,604.30","3,065.60"
40,40,759.3,"8,857.20",Octubre,2020,0,1,0,0,-,-,-,-,-,"20,447.10","3,170.20"
40,40,742.3,"8,490.10",Noviembre,2020,0,1,0,0,-,-,-,-,-,"20,644.80","2,890.30"
40,40,763.8,"8,777.10",Diciembre,2020,0,1,0,0,-,-,-,-,-,"22,273.30","2,946.20"
40,40,766.4,"7,641.60",Enero,2021,0,1,0,0,-,-,-,-,-,"25,082.10","2,919.50"
40,40,679.7,"6,874.30",Febrero,2021,0,1,0,0,-,-,-,-,-,"25,000.20","2,615.40"
50,50,903.6,"8,950.80",Marzo,2021,0,1,0,0,-,-,-,-,-,"23,381.50","3,545.00"
50,50,906.9,"8,573.90",Abril,2021,0,1,0,0,-,-,-,-,-,"22,766.80","3,256.70"
50,50,923,"9,143.90",Mayo,2021,0,1,0,0,-,-,-,-,-,"24,353.00","3,146.70"
50,50,872.4,"9,288.30",Junio,2021,0,1,0,0,-,-,-,-,-,"25,620.10","3,096.70"
50,50,953.3,"9,684.00",Julio,2021,0,1,0,0,-,-,-,-,-,"25,795.30","3,136.40"
50,50,896.5,"9,151.00",Agosto,2021,0,1,0,0,-,-,-,-,-,"24,831.60","3,113.30"
50,50,911.6,"9,018.20",Septiembre,2021,0,1,0,0,-,-,-,-,-,"25,267.30","3,402.60"
50,50,995.1,"10,000.00",Octubre,2021,0,1,0,0,-,-,-,-,-,"26,818.20","3,536.90"
50,50,899.3,"10,429.80",Noviembre,2021,0,1,0,0,-,-,-,-,-,"28,753.20","3,676.90"
50,50,969.7,"10,939.40",Diciembre,2021,0,1,0,0,-,-,-,-,-,"29,640.60","3,722.40"
50,50,924.6,"9,349.30",Enero,2022,0,1,0,0,-,-,-,-,-,"25,717.80","3,661.90"
50,50,906.7,"9,713.00",Febrero,2022,0,1,0,0,-,-,-,-,-,"25,808.80","3,227.10"
50,50,961.9,"12,244.70",Marzo,2022,0,1,0,0,-,-,-,-,-,"33,324.50","3,741.00"
50,50,964.2,"11,375.90",Abril,2022,0,1,0,0,-,-,-,-,-,"28,267.30","3,732.40"
50,50,"1,005.50","12,471.10",Mayo,2022,0,1,0,0,-,-,-,-,-,"33,538.30","3,905.80"
50,50,982.6,"11,492.40",Junio,2022,0,1,0,0,-,-,-,-,-,"39,665.90","3,842.40"
50,50,"1,002.50","11,485.10",Julio,2022,0,1,0,0,-,-,-,-,-,"39,055.10","3,966.90"
50,50,982.8,"13,452.80",Agosto,2022,0,1,0,0,-,-,-,-,-,"46,789.00","4,018.00"
50,50,"1,013.80","13,244.90",Septiembre,2022,0,1,0,0,-,-,-,-,-,"45,671.60","3,789.30"
50,50,"1,013.80","14,135.80",Octubre,2022,0,1,0,0,-,-,-,-,-,"47,422.00","3,751.20"
50,50,969.7,"13,657.70",Noviembre,2022,0,1,0,0,-,-,-,-,-,"44,794.60","3,451.00"
50,50,879.5,"10,665.00",Diciembre,2022,0,1,0,0,-,-,-,-,-,"41,252.30","3,202.30"
